id;idade;sexo;fatoe_i;fator_ii;fato_iii;fator_iv;fator_v;epn_ra;epn_rv;epn_rm;epn_re;epn_rn;epn_eg;gerenc;relac;percep;usofaci;conemo;regemo;experi;etrateg;ie1;ie2;ie;av_des1;av_des2;av_des
a123;23;2;6.1;6.7;6.2;4.8;5.85;109;95;93;86;78;87;42.6915;51.2444;45.4651;43.8237;39.8379;46.968;44.6444;43.403;45.0458;43.0015;44.0237;5.2;4.7;4.95
a124;24;1;4.5;5.9;5.7;5.7;5.35;115;105;133;99;146;117;44.667;36.1667;42.8715;32.0597;40.7454;40.4168;37.4656;40.5811;40.965;37.0817;39.0234;4.6;3.77778;4.18889
a125;40;1;4.4;2.8;6.7;4.9;9.35;92;111;112;84;103;96;46.4465;47.1444;43.6017;40.012;45.9792;46.7955;41.8068;46.3873;45.21;42.9842;44.0971;5.44444;5.5;5.47222
a126;25;2;7.8;5.3;4.1;6.8;6.45;79;79;90;88;90;81;36.515;32.4756;47.1688;39.3027;45.22;34.4953;43.2357;39.8576;42.1911;40.9023;41.5467;4;4.6;4.3
a127;27;1;3.2;3;7.7;3.2;6.25;92;82;98;93;103;91;44.4545;49.6256;46.679;33.0047;37.8148;47.04;39.8418;42.4274;44.955;37.3143;41.1346;5.8;5.5;5.65
a128;22;1;4.3;2.4;9.6;4.3;8.35;68;85;104;;71;;51.36;42.5333;47.9256;;42.375;46.9467;47.9256;44.6608;48.5192;42.979;45.7491;2;2;2
a129;29;2;5.2;2.6;7.8;3.9;9.85;71;66;82;63;70;61;50.96;40.95;50.633;42.634;39.913;45.955;46.6335;42.934;46.9749;41.6781;43.9481;3;4.8;3.9
a130;31;1;1.8;4.4;8.4;5.2;7.65;;99;;124;;;;;;;;;;;;;;5.4;5.6;5.5
a131;20;1;4.1;3.4;9.6;4.1;8.85;94;91;104;93;106;95;45.0825;53.6556;48.0508;45.678;44.1125;49.369;46.8644;46.7408;47.6163;45.9889;46.8026;5;5.5;5.25
a132;46;1;1.7;1.8;8.9;0.9;8.65;99;95;112;88;88;93;48.026;52.9333;41.8875;36.548;43.5405;50.4797;39.2177;47.0101;41.107;45.1208;43.1139;5.3;5.8;5.55
a133;36;1;1.5;5.6;6.5;2.8;6.65;82;89;90;74;88;80;48.079;44.3;42.8287;39.48;39.9379;46.1895;41.1544;43.0637;46.7455;37.4725;42.109;5.3;5.8;5.55
a134;60;1;1.5;6.7;7.6;2.7;3.95;87;71;109;74;83;80;42.0935;18.2156;39.4588;44.7633;43.8177;30.1545;42.1111;36.9861;46.7835;32.3137;39.5486;3.8;5.2;4.5
a135;31;1;6.2;5.3;5.7;7.9;5.75;87;85;98;96;96;90;38.0415;39.9011;34.6933;26.683;37.8457;38.9713;30.6882;38.4085;36.477;32.6197;34.5483;4;5.1;4.55
a136;64;1;3.9;1.4;5.6;4.2;5.65;79;82;96;77;81;78;40.437;41.2822;35.0592;34.416;34.6179;40.8596;34.7376;37.7388;33.2985;38.8985;36.4985;4.6;5.3;4.95
a137;44;1;3.4;3.9;6.2;6.4;9.25;74;74;96;64;98;76;22.6845;45.0478;45.8728;35.0093;29.8428;33.8661;40.4411;31.8545;38.0189;34.2767;36.1478;4;5.3;4.65
a138;33;1;7.3;1.4;5.3;6.6;9.65;87;79;106;91;96;89;46.18;39.7911;44.4557;40.801;46.3517;42.9856;42.6283;44.6686;49.0696;38.2274;43.6485;4.6;5.3;4.95
a139;41;2;7.1;3.5;6.4;4.6;7.95;82;89;85;64;81;74;49.705;30.0133;43.509;40.4443;34.1292;39.8592;41.9767;36.9942;43.3285;35.6424;39.4854;4.3;5.6;4.95
a140;30;1;4.4;5.4;6.7;7.4;6.75;104;91;101;80;98;91;38.113;46.8589;45.7984;45.6533;40.4651;42.4859;45.7259;41.4755;41.8773;45.3241;43.6007;3.8;5.1;4.45
a141;50;1;3.9;5.7;6.6;5.3;7.55;74;95;98;63;83;78;21.9265;50.8889;26.9682;45.4927;36.5887;36.4077;36.2304;36.4982;36.1282;33.6364;35.0603;3.5;4;3.75
a142;25;1;4.5;5.5;4.9;5.1;4.25;73;77;96;74;73;73;;23.2967;;;32.4858;23.2967;;27.8913;;27.4617;;4;3.7;3.85
a143;34;1;7.1;7.4;8.5;5.9;4.15;72;89;82;74;73;72;42.579;21.4244;45.7077;26.1602;31.3186;32.0017;35.934;31.6602;38.8899;28.7043;33.7971;2.2;4.4;3.3
a144;40;1;5.3;6.9;5.8;7.9;7.25;82;82;98;80;83;81;33.421;34.5678;48.6195;45.1837;40.3472;33.9944;46.9016;37.1708;42.3995;41.6729;42.0362;3.4;4.2;3.8
a145;44;2;1.7;7.9;4.2;1.6;5.35;82;95;96;77;88;85;51.1495;39.8611;47.9553;49.8433;42.8511;45.5053;48.8993;44.1782;48.1083;44.9692;46.5388;5.3;3.9;4.6
a146;32;1;4.2;2.8;8.2;5.5;9.05;79;71;96;84;78;75;46.26;39.4811;49.7729;37.5873;36.9348;42.8706;43.6801;39.9027;42.9356;40.6472;41.7914;3;4.1;3.55
